Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
0.25182008743286133	0	26.5526315789	11.4586151648	61.0	11.0	26.5526315789	11.4586151648	1009	1009
0.39821720123291016	1	27.8611111111	18.2027970649	91.0	10.0	27.8611111111	18.2027970649	1003	2012
0.5343837738037109	2	34.9655172414	21.5045829255	87.0	11.0	34.9655172414	21.5045829255	1014	3026
0.6692254543304443	3	30.3333333333	15.6469895772	63.0	11.0	30.3333333333	15.6469895772	1001	4027
0.8044917583465576	4	31.46875	17.0678505805	79.0	11.0	31.46875	17.0678505805	1007	5034
0.9426941871643066	5	29.5428571429	14.531429695	65.0	13.0	29.5428571429	14.531429695	1034	6068
1.0855798721313477	6	30.9393939394	15.7517471738	79.0	10.0	30.9393939394	15.7517471738	1021	7089
1.2292358875274658	7	32.8064516129	15.2937249515	71.0	14.0	32.8064516129	15.2937249515	1017	8106
1.3758623600006104	8	38.8214285714	19.2169076809	98.0	12.0	38.8214285714	19.2169076809	1087	9193
1.5176327228546143	9	37.4444444444	19.8966465318	91.0	11.0	37.4444444444	19.8966465318	1011	10204
1.6613640785217285	10	42.5	16.7779617356	88.0	17.0	42.5	16.7779617356	1020	11224
1.800102949142456	11	38.1481481481	17.3817778226	97.0	14.0	38.1481481481	17.3817778226	1030	12254
1.9413044452667236	12	40.5769230769	18.0110501913	80.0	9.0	40.5769230769	18.0110501913	1055	13309
2.0848519802093506	13	50.4	17.1388447685	96.0	20.0	50.4	17.1388447685	1008	14317
2.232272148132324	14	48.3181818182	29.9140987794	144.0	13.0	48.3181818182	29.9140987794	1063	15380
2.3693485260009766	15	47.7142857143	24.7927463608	105.0	15.0	47.7142857143	24.7927463608	1002	16382
2.5068020820617676	16	52.7894736842	28.6917904036	122.0	13.0	52.7894736842	28.6917904036	1003	17385
2.646118640899658	17	48.0476190476	16.1701553147	70.0	19.0	48.0476190476	16.1701553147	1009	18394
2.784487724304199	18	50.5	21.8529174254	93.0	17.0	50.5	21.8529174254	1010	19404
2.928346633911133	19	47.9545454545	17.6878933242	100.0	22.0	47.9545454545	17.6878933242	1055	20459
3.071319580078125	20	53.3157894737	19.9051768764	104.0	21.0	53.3157894737	19.9051768764	1013	21472
3.2161853313446045	21	47.9523809524	25.1745831582	104.0	19.0	47.9523809524	25.1745831582	1007	22479
3.3633410930633545	22	55.1052631579	20.6496966636	114.0	28.0	55.1052631579	20.6496966636	1047	23526
3.5061092376708984	23	58.9411764706	20.7802807778	101.0	32.0	58.9411764706	20.7802807778	1002	24528
3.648141622543335	24	50.8	20.0364667544	90.0	18.0	50.8	20.0364667544	1016	25544
3.787184953689575	25	68.6	37.5673617209	183.0	35.0	68.6	37.5673617209	1029	26573
3.925574541091919	26	53.7368421053	19.7772918833	104.0	15.0	53.7368421053	19.7772918833	1021	27594
4.072066068649292	27	64.5	24.6804578564	125.0	31.0	64.5	24.6804578564	1032	28626
4.222681045532227	28	66.875	27.7508445817	154.0	31.0	66.875	27.7508445817	1070	29696
4.364855766296387	29	55.1052631579	17.2104458392	94.0	23.0	55.1052631579	17.2104458392	1047	30743
4.501742601394653	30	59.1176470588	22.6530931609	121.0	26.0	59.1176470588	22.6530931609	1005	31748
4.638965129852295	31	61.0	22.3290894417	115.0	31.0	61.0	22.3290894417	1037	32785
4.78071665763855	32	60.4705882353	23.2280703588	134.0	35.0	60.4705882353	23.2280703588	1028	33813
4.921766996383667	33	65.125	25.1467567491	136.0	31.0	65.125	25.1467567491	1042	34855
5.063165903091431	34	67.7333333333	24.1010834242	134.0	44.0	67.7333333333	24.1010834242	1016	35871
5.203450679779053	35	53.8947368421	18.0259892402	90.0	14.0	53.8947368421	18.0259892402	1024	36895
5.3455610275268555	36	68.2	36.8713077248	174.0	32.0	68.2	36.8713077248	1023	37918
5.489257335662842	37	68.1333333333	15.611391852	103.0	41.0	68.1333333333	15.611391852	1022	38940
5.628251552581787	38	57.6111111111	12.5748377011	87.0	38.0	57.6111111111	12.5748377011	1037	39977
5.7706217765808105	39	68.8666666667	24.6897189579	132.0	33.0	68.8666666667	24.6897189579	1033	41010
5.9097723960876465	40	68.6	25.2317260607	128.0	31.0	68.6	25.2317260607	1029	42039
6.054731369018555	41	86.4166666667	43.1305350715	168.0	25.0	86.4166666667	43.1305350715	1037	43076
6.201379060745239	42	77.5714285714	30.2104860833	134.0	43.0	77.5714285714	30.2104860833	1086	44162
6.341622829437256	43	63.3125	16.3314066678	107.0	39.0	63.3125	16.3314066678	1013	45175
6.482481956481934	44	67.4666666667	23.7426947829	115.0	34.0	67.4666666667	23.7426947829	1012	46187
6.631910085678101	45	79.7142857143	31.9093102657	147.0	31.0	79.7142857143	31.9093102657	1116	47303
6.778141260147095	46	83.0	34.7319405203	162.0	30.0	83.0	34.7319405203	1079	48382
6.929412603378296	47	74.2666666667	27.4164589658	128.0	24.0	74.2666666667	27.4164589658	1114	49496
7.079176664352417	48	76.6428571429	27.3824947806	120.0	40.0	76.6428571429	27.3824947806	1073	50569
7.223090410232544	49	68.4	39.4086284968	184.0	31.0	68.4	39.4086284968	1026	51595
7.3620476722717285	50	72.8571428571	26.7551253911	135.0	41.0	72.8571428571	26.7551253911	1020	52615
7.500951766967773	51	77.8461538462	41.1130639051	200.0	29.0	77.8461538462	41.1130639051	1012	53627
7.648404598236084	52	73.2666666667	22.687637358	110.0	33.0	73.2666666667	22.687637358	1099	54726
7.79230523109436	53	80.5384615385	27.8031967852	152.0	53.0	80.5384615385	27.8031967852	1047	55773
7.928706169128418	54	84.6666666667	30.1560754888	132.0	41.0	84.6666666667	30.1560754888	1016	56789
8.081974267959595	55	94.0	47.474554588	200.0	50.0	94.0	47.474554588	1128	57917
8.222106218338013	56	86.9166666667	30.0429091283	148.0	38.0	86.9166666667	30.0429091283	1043	58960
8.363583087921143	57	87.75	34.7517985146	157.0	34.0	87.75	34.7517985146	1053	60013
8.506166934967041	58	86.5	29.1876115273	143.0	46.0	86.5	29.1876115273	1038	61051
8.64635968208313	59	86.8333333333	44.3561971118	200.0	36.0	86.8333333333	44.3561971118	1042	62093
8.786800384521484	60	88.25	20.9289472581	138.0	40.0	88.25	20.9289472581	1059	63152
8.930944919586182	61	97.0909090909	38.5898115274	200.0	62.0	97.0909090909	38.5898115274	1068	64220
9.070643424987793	62	92.3636363636	14.7911074468	116.0	71.0	92.3636363636	14.7911074468	1016	65236
9.221530675888062	63	93.5	39.4345449236	180.0	41.0	93.5	39.4345449236	1122	66358
9.366325378417969	64	79.0769230769	33.9126968246	157.0	34.0	79.0769230769	33.9126968246	1028	67386
9.514464616775513	65	99.8181818182	31.8285697329	151.0	57.0	99.8181818182	31.8285697329	1098	68484
