Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
0.26820921897888184	0	22.5111111111	12.544360791	71.0	9.0	22.5111111111	12.544360791	1013	1013
0.42714476585388184	1	27.1891891892	11.9590242706	62.0	9.0	27.1891891892	11.9590242706	1006	2019
0.5823068618774414	2	23.3488372093	14.316820033	82.0	10.0	23.3488372093	14.316820033	1004	3023
0.7248485088348389	3	29.6176470588	18.1481075109	80.0	11.0	29.6176470588	18.1481075109	1007	4030
0.8664963245391846	4	35.8214285714	17.9185729092	87.0	14.0	35.8214285714	17.9185729092	1003	5033
1.0089330673217773	5	32.3870967742	16.7903148337	89.0	14.0	32.3870967742	16.7903148337	1004	6037
1.1511707305908203	6	34.4666666667	18.2039067846	89.0	8.0	34.4666666667	18.2039067846	1034	7071
1.2970950603485107	7	34.1333333333	20.0328618913	89.0	11.0	34.1333333333	20.0328618913	1024	8095
1.4525940418243408	8	34.0322580645	19.3615579734	84.0	14.0	34.0322580645	19.3615579734	1055	9150
1.5992941856384277	9	32.6451612903	17.4864895075	83.0	14.0	32.6451612903	17.4864895075	1012	10162
1.7454235553741455	10	36.0714285714	18.6641914054	91.0	15.0	36.0714285714	18.6641914054	1010	11172
1.8979897499084473	11	41.2	22.8892988097	110.0	15.0	41.2	22.8892988097	1030	12202
2.045069694519043	12	35.2413793103	14.4619719465	66.0	11.0	35.2413793103	14.4619719465	1022	13224
2.194916009902954	13	45.8260869565	14.5651524982	69.0	17.0	45.8260869565	14.5651524982	1054	14278
2.3450140953063965	14	57.2222222222	31.4440518232	126.0	15.0	57.2222222222	31.4440518232	1030	15308
2.4958741664886475	15	53.3157894737	40.5229663688	194.0	20.0	53.3157894737	40.5229663688	1013	16321
2.6441047191619873	16	56.3333333333	28.4956136976	126.0	15.0	56.3333333333	28.4956136976	1014	17335
2.8068063259124756	17	43.8260869565	21.4975270042	96.0	17.0	43.8260869565	21.4975270042	1008	18343
3.0199506282806396	18	59.6470588235	28.93794817	120.0	21.0	59.6470588235	28.93794817	1014	19357
3.1889822483062744	19	60.1176470588	32.6296190833	137.0	23.0	60.1176470588	32.6296190833	1022	20379
3.3444130420684814	20	44.8260869565	17.8633756338	90.0	12.0	44.8260869565	17.8633756338	1031	21410
