Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
3.4546313285827637	21	59.5294117647	21.4314712159	96.0	24.0	59.5294117647	21.4314712159	1012	22598
3.5999913215637207	22	63.9375	19.9795794187	104.0	39.0	63.9375	19.9795794187	1023	23621
3.742417573928833	23	71.7142857143	33.0917093014	127.0	28.0	71.7142857143	33.0917093014	1004	24625
3.88659930229187	24	60.3529411765	24.2194408457	122.0	19.0	60.3529411765	24.2194408457	1026	25651
4.040632009506226	25	67.9375	34.8271961799	165.0	30.0	67.9375	34.8271961799	1087	26738
4.191097259521484	26	79.3076923077	31.3058967544	169.0	51.0	79.3076923077	31.3058967544	1031	27769
4.346391201019287	27	60.9444444444	25.4765081818	118.0	29.0	60.9444444444	25.4765081818	1097	28866
4.492266654968262	28	87.75	40.812834991	200.0	43.0	87.75	40.812834991	1053	29919
4.645279884338379	29	66.5	22.7046250795	112.0	23.0	66.5	22.7046250795	1064	30983
4.7905592918396	30	80.6153846154	27.6225617414	138.0	54.0	80.6153846154	27.6225617414	1048	32031
4.933990478515625	31	85.1666666667	27.5434000967	137.0	49.0	85.1666666667	27.5434000967	1022	33053
5.0886266231536865	32	77.9285714286	24.3588185431	125.0	37.0	77.9285714286	24.3588185431	1091	34144
5.231910228729248	33	92.7272727273	38.7323940276	151.0	26.0	92.7272727273	38.7323940276	1020	35164
5.37094783782959	34	91.4545454545	43.2295430051	200.0	39.0	91.4545454545	43.2295430051	1006	36170
5.532884836196899	35	97.0	40.6939798988	200.0	46.0	97.0	40.6939798988	1164	37334
5.677959203720093	36	92.8181818182	40.1606278967	165.0	23.0	92.8181818182	40.1606278967	1021	38355
5.839583158493042	37	104.090909091	34.7077527243	184.0	66.0	104.090909091	34.7077527243	1145	39500
5.987735271453857	38	106.9	51.7406030116	200.0	24.0	106.9	51.7406030116	1069	40569
6.143406867980957	39	108.5	46.2044370164	199.0	44.0	108.5	46.2044370164	1085	41654
6.294386148452759	40	109.8	55.6485399629	200.0	14.0	109.8	55.6485399629	1098	42752
6.43285870552063	41	112.111111111	52.0308550434	200.0	50.0	112.111111111	52.0308550434	1009	43761
6.577330827713013	42	96.2727272727	38.4071274377	169.0	31.0	96.2727272727	38.4071274377	1059	44820
6.727187871932983	43	136.0	45.7028445504	200.0	67.0	136.0	45.7028445504	1088	45908
6.873688220977783	44	148.714285714	43.1499521129	200.0	87.0	148.714285714	43.1499521129	1041	46949
7.018510818481445	45	149.857142857	30.4040813587	200.0	93.0	149.857142857	30.4040813587	1049	47998
7.166922330856323	46	172.0	19.8997487421	199.0	144.0	172.0	19.8997487421	1032	49030
7.33550500869751	47	148.875	31.4302302728	200.0	111.0	148.875	31.4302302728	1191	50221
7.486736536026001	48	179.166666667	35.8441844035	200.0	100.0	179.166666667	35.8441844035	1075	51296
7.631914138793945	49	169.5	24.6356787336	200.0	135.0	169.5	24.6356787336	1017	52313
7.7766571044921875	50	168.833333333	38.7230192808	200.0	105.0	168.833333333	38.7230192808	1013	53326
7.937858819961548	51	166.571428571	36.7689975886	200.0	104.0	166.571428571	36.7689975886	1166	54492
8.083078861236572	52	168.166666667	27.5100991557	200.0	122.0	168.166666667	27.5100991557	1009	55501
8.24411129951477	53	190.666666667	20.86996779	200.0	144.0	190.666666667	20.86996779	1144	56645
8.407372236251831	54	193.166666667	10.0069420349	200.0	175.0	193.166666667	10.0069420349	1159	57804
8.562451839447021	55	183.666666667	23.1636688708	200.0	148.0	183.666666667	23.1636688708	1102	58906
8.713459730148315	56	180.833333333	27.9070879089	200.0	131.0	180.833333333	27.9070879089	1085	59991
8.86845588684082	57	182.5	23.1354706025	200.0	136.0	182.5	23.1354706025	1095	61086
9.031883716583252	58	193.5	14.5344418537	200.0	161.0	193.5	14.5344418537	1161	62247
9.216978788375854	59	200.0	0.0	200.0	200.0	200.0	0.0	1200	63447
9.378404140472412	60	171.666666667	31.5418593125	200.0	119.0	171.666666667	31.5418593125	1030	64477
9.570663690567017	61	200.0	0.0	200.0	200.0	200.0	0.0	1200	65677
9.763846158981323	62	200.0	0.0	200.0	200.0	200.0	0.0	1200	66877
9.951451778411865	63	200.0	0.0	200.0	200.0	200.0	0.0	1200	68077
10.129102230072021	64	195.666666667	9.6896279025	200.0	174.0	195.666666667	9.6896279025	1174	69251
10.276026487350464	65	174.5	57.0197334262	200.0	47.0	174.5	57.0197334262	1047	70298
10.429616689682007	66	185.666666667	32.0503076775	200.0	114.0	185.666666667	32.0503076775	1114	71412
10.596547842025757	67	200.0	0.0	200.0	200.0	200.0	0.0	1200	72612
10.757383346557617	68	193.0	14.7761068395	200.0	160.0	193.0	14.7761068395	1158	73770
10.911439180374146	69	184.5	34.6590536512	200.0	107.0	184.5	34.6590536512	1107	74877
11.076381921768188	70	195.333333333	7.453559925	200.0	180.0	195.333333333	7.453559925	1172	76049
11.237166166305542	71	192.833333333	8.29491142542	200.0	181.0	192.833333333	8.29491142542	1157	77206
11.39458703994751	72	184.666666667	25.4274567261	200.0	131.0	184.666666667	25.4274567261	1108	78314
