Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
11.225285053253174	0	-93.05184378	37.4320566431	-1.62778198368	-199.097145409	151.0	0.0	30049	30049
22.10232639312744	1	-119.474998054	41.236550263	-11.0365210044	-265.498894864	151.0	0.0	30049	60098
32.60831093788147	2	-86.3614318909	29.8141520131	-0.282586103926	-191.522343847	151.0	0.0	30049	90147
43.1148202419281	3	-81.9266329664	33.5374806896	18.4704317679	-195.852678831	151.0	0.0	30049	120196
53.67645454406738	4	-84.2346988946	37.4945920804	3.87208194641	-181.388368782	151.0	0.0	30049	150245
64.25298237800598	5	-68.93551459	28.565693717	5.22673702962	-153.046079616	151.0	0.0	30049	180294
75.34088850021362	6	-56.2973855502	22.7146619866	-7.5310718167	-132.76818068	151.0	0.0	30049	210343
86.39004945755005	7	-55.084061816	30.2987864538	7.42044871714	-181.833262204	151.0	0.0	30049	240392
97.56678295135498	8	-50.9337310759	23.1345785393	8.78237770394	-152.142073048	151.0	0.0	30049	270441
108.58945560455322	9	-49.1880622332	17.7738743641	-4.34682678034	-91.3008761434	151.0	0.0	30049	300490
119.27442288398743	10	-41.5740837513	19.6715782727	12.9077858646	-112.670622241	151.0	0.0	30049	330539
130.12950944900513	11	-38.9532210953	23.4400551614	13.0150200768	-105.401963677	151.0	0.0	30049	360588
140.89523768424988	12	-43.0044854285	24.7157882841	25.6895307292	-115.786819022	151.0	0.0	30049	390637
152.88182973861694	13	-42.3193533134	25.3371934229	10.1048755173	-113.42174285	151.0	0.0	30049	420686
165.770001411438	14	-41.0002174437	27.6482097881	39.2859608692	-126.471203841	151.0	0.0	30049	450735
176.50801634788513	15	-35.050233427	21.8931469674	16.0121923512	-127.724569371	151.0	0.0	30049	480784
187.33369398117065	16	-33.5122582981	21.5189707048	21.826735794	-112.033376599	151.0	0.0	30049	510833
198.10908937454224	17	-28.7070292306	17.616178956	14.5756776758	-91.3941792032	151.0	0.0	30049	540882
208.83268857002258	18	-30.0816692027	20.4625469091	29.4934820775	-109.184889011	151.0	0.0	30049	570931
219.55130696296692	19	-27.3292052456	17.5137534849	52.0589549077	-103.693240831	151.0	0.0	30049	600980
231.48678255081177	20	-19.1092304808	19.1306664792	46.4376297855	-75.9759453042	151.0	0.0	30049	631029
242.9534146785736	21	-13.8508812437	25.079151186	49.103738012	-111.159453318	151.0	0.0	30049	661078
255.42332100868225	22	-17.1554486753	30.5064821119	47.0108093331	-118.722629232	151.0	0.0	30049	691127
267.5395622253418	23	-19.3608358509	33.6376841547	72.5097296566	-108.214949701	151.0	0.0	30049	721176
278.71295976638794	24	-20.3709010902	29.3000875012	44.484314828	-144.582197759	151.0	0.0	30049	751225
289.7070429325104	25	-21.7436232082	25.5708937872	39.2272344628	-104.246016616	151.0	0.0	30049	781274
300.77722907066345	26	-17.485578977	19.3034821704	23.3457299062	-85.6907123066	151.0	0.0	30049	811323
311.9758677482605	27	-12.4492257643	16.0249600888	46.7623566926	-62.0893759644	151.0	0.0	30049	841372
323.0992705821991	28	-9.75746892631	16.8172857862	43.3533389659	-52.1853665918	151.0	0.0	30049	871421
334.94258189201355	29	-2.05287447974	19.0282987129	41.0439302937	-64.7397764422	151.0	0.0	30049	901470
347.0942904949188	30	7.42407095254	33.2600398163	74.0080492842	-112.676562338	151.0	0.0	30049	931519
359.3064179420471	31	3.25693688095	39.3903443463	104.330657107	-106.854389935	151.0	0.0	30049	961568
371.5222678184509	32	2.11758437047	42.1084367052	113.908428819	-135.339580008	151.0	0.0	30049	991617
382.56498503685	33	1.72815309059	35.0886255735	94.0188239117	-124.69115263	151.0	0.0	30049	1021666
394.73237776756287	34	-4.43954507948	28.2619756001	82.8339126285	-101.709511422	151.0	0.0	30049	1051715
406.6680886745453	35	-7.8154248098	16.7997122187	42.0663762953	-46.7297419772	151.0	0.0	30049	1081764
418.2846281528473	36	-11.3522173859	15.6600020541	27.8923887257	-68.5012388909	151.0	0.0	30049	1111813
429.5363461971283	37	-11.8806267599	17.621092924	35.7088033272	-82.094016034	151.0	0.0	30049	1141862
440.64231181144714	38	-17.4861877429	17.5930753384	26.1087987626	-73.0917693174	151.0	0.0	30049	1171911
451.96962881088257	39	-12.4437938759	18.5861048462	52.139486086	-72.9809599473	151.0	0.0	30049	1201960
463.01118755340576	40	-9.23549755865	19.2194139614	47.8545163301	-86.5698221854	151.0	0.0	30049	1232009
