Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
2.733586549758911	0	-121.878645155	34.0791624219	-61.5726925418	-192.648199549	151.0	0.0	5134	5134
4.990563154220581	1	-1337.70485239	68.1364412768	-1162.69976566	-1465.55089807	151.0	0.0	5134	10268
7.2829649448394775	2	-861.725998894	62.8152071254	-723.92880747	-1043.5245326	151.0	0.0	5134	15402
9.543975114822388	3	-1217.36471799	67.899706155	-1079.36608369	-1384.71558147	151.0	0.0	5134	20536
11.845259189605713	4	-650.553154215	60.367944018	-538.264862166	-783.505758037	151.0	0.0	5134	25670
14.18069076538086	5	-507.394404976	69.5876215341	-346.512866294	-636.263070621	151.0	0.0	5134	30804
16.471203088760376	6	-359.473908619	39.766030148	-292.081863146	-476.908880433	151.0	0.0	5134	35938
18.75366711616516	7	-268.849991482	42.3155249104	-185.22910459	-357.453304938	151.0	0.0	5134	41072
21.016015768051147	8	-176.151960523	37.9243908066	-104.064518175	-281.348922366	151.0	0.0	5134	46206
23.30424976348877	9	-201.255580885	47.0339711553	-116.005751332	-406.362342227	151.0	0.0	5134	51340
25.574482440948486	10	-179.989338866	34.4046988157	-88.0148240582	-253.708112342	151.0	0.0	5134	56474
27.83994698524475	11	-139.771635773	44.6822714437	-52.8132651821	-267.744836586	151.0	0.0	5134	61608
30.18692684173584	12	-128.926577617	45.2655084888	-45.3581738699	-215.861291557	151.0	0.0	5134	66742
32.499786615371704	13	-151.552463497	28.2077679082	-96.3156035362	-245.181953612	151.0	0.0	5134	71876
34.7712881565094	14	-138.282116296	36.5849100017	-89.129677739	-234.693016775	151.0	0.0	5134	77010
37.049437046051025	15	-93.9413948044	33.7896497036	-30.7724856114	-174.479985553	151.0	0.0	5134	82144
39.32667326927185	16	-120.796241472	37.6701056213	-43.3128115442	-193.042185775	151.0	0.0	5134	87278
41.56287145614624	17	-146.942025708	41.3773433892	-79.2393412046	-260.044133004	151.0	0.0	5134	92412
